ID,Name (in Turkey),Name (in English),Ingredients of a standard portion for a 3-6 year-old child (in Turkey),Ingredients of a standard portion for a 3-6 year-old child (in English),Ingredients of a standard portion for a 7-12 year-old child (in Turkey),Ingredients of a standard portion for a 7-12 year-old child (in English),Ingredients of a standard portion for a 13-15 year-old child (in Turkey),Ingredients of a standard portion for a 13-15 year-old child (in English),Ingredients of a standard portion for a 16-18 year-old child (in Turkey),Ingredients of a standard portion for a 16-18 year-old child (in English),Ingredients of a standard portion for an adult (in Turkey),Ingredients of a standard portion for an adult (in English),Recipe (in Turkey),Recipe (in English),Tip (in Turkey),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses (Legumes),Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,Protein mix,Unique,Semiunique,Vegetables for semi,Red,Green,White,Yellow,Purple,Multicolor,No color,For proposals,For school
232,Tarçınlı havuçlu Kek,Cinnamon carrut cake,,,"Havuç: 20 g
Ceviz: 15 g
Şeker: 15 g
Yumurta: 20 g
Kabartma Tozu: 1 g
Vanilya: 1 g
yağ: 15 ml
süt: 15 ml
un: 40 g","Carrots: 20 g
Walnuts: 15 g
Sugar: 15 g
Egg: 20 g
Baking Powder: 1 g
Vanilla: 1 g
oil: 15 ml
milk: 15 ml
flour: 40 g","Havuç: 25 g
Ceviz: 20 g
Şeker: 20 g
Yumurta: 30 g
Kabartma Tozu: 1 g
Vanilya: 1 g
yağ: 20 ml
süt: 20 ml
un: 50 g","Carrots: 25 g
Walnuts: 20 g
Sugar: 20 g
Egg: 30 g
Baking Powder: 1 g
Vanilla: 1 g
oil: 20 ml
milk: 20 ml
flour: 50 g","Havuç: 30 g
Ceviz: 25 g
Şeker: 30 g
Yumurta: 40 g
Kabartma Tozu: 1 g
Vanilya: 1 g
yağ: 25 ml
süt: 25 ml
un: 75 g","Carrots: 30 g
Walnuts: 25 g
Sugar: 30 g
Egg: 40 g
Baking Powder: 1 g
Vanilla: 1 g
oil: 25 ml milk: 25 ml
flour: 75 g","Havuç: 30 g
Ceviz: 25 g
Şeker: 30 g
Yumurta: 40 g
Kabartma Tozu: 1 g
Vanilya: 1 g
yağ: 25 ml
süt: 25 ml
un: 75 g","Carrots: 30 g
Walnuts: 25 g
Sugar: 30 g
Egg: 40 g
Baking Powder: 1 g
Vanilla: 1 g
oil: 25 ml milk: 25 ml
flour: 75 g","Yumurta ile şekeri çırp. Daha sonra yağ, süt, un, kabartma tozu ve vanilyayı ekleyerek mikser ile çırp. Havuç rendesi ve cevizi ekleyerek karıştır. Kek kalıbına boşaltarak 170 derecede pişir","Beat sugar with egg. Then add oil, milk, flour, baking powder and vanilla and beat with a mixer. Add carrot grated and walnuts and mix. Pour into the cake mold and bake at 170 degrees",,,426,6.58,22.9,46.14,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
233,Sebzeli Krep,Vegetable pancake,,,"yumurta: 60 g
un: 15 g
süt: 25 ml
havuç: 25 g
 maydanoz: 10 g
dereotu: 10 g
biber: 30 g
 beyaz peynir: 15 g sıvı yağ: 5 ml","eggs: 60 g
flour: 15 g
milk: 25 ml
carrots: 25 g
parsley: 10 g
dill: 10 g
pepper: 30 g
cheese: 15 g oil: 5 ml","yumurta: 60 g
un: 15 g
süt: 25 ml
havuç: 25 g
 maydanoz: 10 g
dereotu: 10 g
biber: 30 g
 beyaz peynir: 15 g sıvı yağ: 5 ml","eggs: 60 g
flour: 15 g
milk: 25 ml
carrots: 25 g
parsley: 10 g
dill: 10 g
pepper: 30 g
cheese: 15 g oil: 5 ml","yumurta: 120 g
un: 30 g
süt: 50 ml
havuç: 50 g
maydanoz: 20 g
dereotu: 20 g
biber: 60 g
beyaz peynir: 30 g sıvı yağ: 10 g","eggs: 120 g
flour: 30 g
milk: 50 ml
carrots: 50 g
parsley: 20 g
dill: 20 g
pepper: 60 g
cheese: 30 g oil: 10 ml","yumurta: 120 g
un: 30 g
süt: 50 ml
havuç: 50 g
maydanoz: 20 g
dereotu: 20 g
biber: 60 g
beyaz peynir: 30 g sıvı yağ: 10 g","eggs: 120 g
flour: 30 g
milk: 50 ml
carrots: 50 g
parsley: 20 g
dill: 20 g
pepper: 60 g
cheese: 30 g oil: 10 ml",Tüm malzemeleri karıştırıp az yağlı tavada pişiriyoruz.,Mix all the ingredients and cook in a low oil pan.,,,410,23.5,26.5,19.4,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
234,Elma Suyu,Apple juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,180,,,45,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
235,Yulaf Tost,Oatmeal toast,,,"yumurta: 60 g
yoğurt: 100 g
yulaf ezmesi: 30 g
kaşar peyniri: 10 g tuz: 1 g","eggs: 60 g
yoghurt: 100 g
oatmeal: 30 g
cheddar: 10 g salt: 1 g","yumurta: 90 g
yoğurt: 150 g
yulaf ezmesi: 40 g
kaşar peyniri: 15 g tuz: 1 g","eggs: 90 g
yoghurt: 150 g
oatmeal: 40 g
cheddar: 15 g salt: 1 g","yumurta: 120 g 
yoğurt: 200 g
yulaf ezmesi: 60 g
kaşar: 20 g tuz: 2 g","eggs: 120 g
yoghurt: 200 g
oatmeal: 60 g
cheddar: 20 g salt: 2 g","yumurta: 120 g 
yoğurt: 200 g
yulaf ezmesi: 60 g
kaşar: 20 g tuz: 2 g","eggs: 120 g
yoghurt: 200 g
oatmeal: 60 g
cheddar: 20 g salt: 2 g","Yumurta, yoğurt, tuz ve yulafı çırpın. Tost makinesinde yağlı kağıt arasında karışımı yayın. Arasına kaşar ekleyip katlayın","Whisk eggs, yogurt, salt and oats. Spread the mixture between greaseproof paper in the toaster. Add cheddar and fold",,,453,28,20,40.25,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
236,Ballı Süt,Honey milk,,,süt: 150 ml bal: 5 g,milk: 150 ml honey: 5 g,süt: 200 ml bal: 5 g,milk: 200 ml honey: 5 g,süt: 250 ml bal: 5 g,milk: 250 ml honey: 5 g,süt: 250 ml bal: 5 g,milk: 250 ml honey: 5 g,,,,,130,6,5,14,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
237,Muzlu Yulaflı Pankek,Banana oatmeal pancakes,,,"muz: 70 g
yumurta: 30 g
yulaf ezmesi: 30 g
tarçın: 1 g
kabartma tozu: 1 g
zeytinyağı: 5 ml
bal: 5 g","banana: 70 g
eggs: 30 g
oatmeal: 30 g
cinnamon: 1 g
baking powder: 1 g
olive oil: 5 ml
honey: 5 g","muz: 120 g
yumurta: 60 g
yulaf ezmesi: 40 g
tarçın: 1 g
kabartma tozu: 1 g
zeytinyağı: 5 ml
bal: 5 g","banana: 120 g
eggs: 60 g
oatmeal: 40 g
cinnamon: 1 g
baking powder: 1 g
olive oil: 5 ml
honey: 5 g","muz: 170 g
yumurta: 120 g
yulaf ezmesi: 60 g
tarçın: 2 g
kabartma tozu: 2 g
zeytinyağı: 10 ml
bal: 5 g","banana: 170 g
eggs: 120 g
oatmeal: 60 g
cinnamon: 2 g
baking powder: 2 g
olive oil: 10 ml
honey: 5 g","muz: 170 g
yumurta: 120 g
yulaf ezmesi: 60 g
tarçın: 2 g
kabartma tozu: 2 g
zeytinyağı: 10 ml
bal: 5 g","banana: 170 g
eggs: 120 g
oatmeal: 60 g
cinnamon: 2 g
baking powder: 2 g
olive oil: 10 ml
honey: 5 g",Bal hariç tüm malzemeleri  mikserle karıştırın. Tavayı ısıtıp yağlayın.  Parçalar alarak tavada önlü arkalı pişirin. Üzerine bal ekleyin.,Mix all ingredients except honey with mixer. Heat and oil the pan. Take the pieces and cook them in the pan from side to side. Add honey to it.,,,405,10,15,57.5,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
238,Greyfurt Suyu,Grapefruit juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,180,,,45,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
239,Ayva,Quince,,,100 g,100 g,150 g,150 g,200 g,200 g,200 g,200 g,,,,,60,,,15,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
240,Kefir,Kefir,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,110,6,5,9,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
241,Kuru Erik,Dried plum,,,20 g,20 g,30 g,30 g,40 g,40 g,40 g,40 g,,,,,120,,,30,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
242,Leblebi,Roasted chickpea,,,20 g,20 g,40 g,40 g,60 g,60 g,60 g,60 g,,,,,68,2,,15,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
243,Karnabahar Böreği,Cauliflower pastry,,,"karnabahar: 100 g 
yumurta: 30 g
un: 10 g
süt: 10 ml
zeytinyağı: 5 ml
havuç: 20 g
maydanoz: 5 g
kabartma tozu: 1 g
tuz: 1 g
karabiber: 1 g
kaşar: 10 g","cauliflower: 100 g
eggs: 30 g
flour: 10 g
milk: 10 ml
olive oil: 5 ml
carrots: 20 g
parsley: 5 g
baking powder: 1 g
salt: 1 g
black pepper: 1 g
cheddar: 10 g","karnabahar: 150 g
yumurta: 60 g
un: 15 g
süt: 15 ml
zeytinyağı: 10 ml
havuç: 25 g
maydanoz: 10 g
kabartma tozu: 2 g
tuz: 2 g
karabiber: 2 g
kaşar: 20 g","cauliflower: 150 g
eggs: 60 g
flour: 15 g
milk: 15 ml
olive oil: 10 ml
carrots: 25 g
parsley: 10 g
baking powder: 2 g
salt: 2 g
black pepper: 2 g
cheddar: 20 g","karnabahar: 150 g
yumurta: 60 g
un: 15 g
süt: 15 ml
zeytinyağı: 10 ml
havuç: 25 g
maydanoz: 10 g
kabartma tozu: 2 g
tuz: 2 g
karabiber: 2 g
kaşar: 20 g","cauliflower: 150 g
eggs: 60 g
flour: 15 g
milk: 15 ml
olive oil: 10 ml
carrots: 25 g
parsley: 10 g
baking powder: 2 g
salt: 2 g
black pepper: 2 g
cheddar: 20 g","karnabahar: 150 g
yumurta: 60 g
un: 15 g
süt: 15 ml
zeytinyağı: 10 ml
havuç: 25 g
maydanoz: 10 g
kabartma tozu: 2 g
tuz: 2 g
karabiber: 2 g
kaşar: 20 g","cauliflower: 150 g
eggs: 60 g
flour: 15 g
milk: 15 ml
olive oil: 10 ml
carrots: 25 g
parsley: 10 g
baking powder: 2 g
salt: 2 g
black pepper: 2 g
cheddar: 20 g",Karnabaharları haşlayın ve ezin. Üzerine havucu rendeleyin. Kalan malzemeleri ekleyip karıştırın. Borcamı yağlayıp karışımı yayın. 200 derece fırında kızarana kadar pişirin. Üzerine kaşar rendesi ekleyin.,Boil and mash the cauliflower. Grate the carrot on it. Add remaining ingredients and mix. Lubricate the bore and spread the mixture. Bake in the oven at 200 degrees until golden brown. Add grated cheddar on it.,,,326,17.25,21,17,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
244,Domatesli Yulaflı Poğaça,Oatmeal with tomato pastry,,,"yulaf: 30 g
yumurta: 10 g
yoğurt: 15 g
kabartma tozu: 1 g
domates: 15 g
beyaz peynir: 10 g
maydanoz: 10 g
karabiber: 1 g
Tuz: 1 g
Çörek otu: 1 g","oatmeal: 30 g
eggs: 10 g
 yogurt: 15 g
baking powder: 1 g
tomatoes: 15 g
cheese: 10 g
parsley: 10 g
black pepper: 1 g
Salt: 1 g
black cumin: 1 g","yulaf: 60 g
yumurta: 20 g
yoğurt: 25 g
kabartma tozu: 2 g
domates: 25 g
beyaz peynir: 20 g
maydanoz: 20 g
karabiber: 2 g
Tuz: 2 g
Çörek otu: 2 g","oatmeal: 60 g
eggs: 20 g
yogurt: 25 g
baking powder: 2 g
tomatoes: 25 g
cheese: 20 g
parsley: 20 g
black pepper: 2 g
Salt: 2 g
black cumin: 2 g","yulaf: 60 g
yumurta: 20 g
yoğurt: 25 g
kabartma tozu: 2 g
domates: 25 g
beyaz peynir: 20 g
maydanoz: 20 g
karabiber: 2 g
Tuz: 2 g
Çörek otu: 2 g","oatmeal: 60 g
eggs: 20 g
yogurt: 25 g
baking powder: 2 g
tomatoes: 25 g
cheese: 20 g
parsley: 20 g
black pepper: 2 g
Salt: 2 g
black cumin: 2 g","yulaf: 60 g
yumurta: 20 g
yoğurt: 25 g
kabartma tozu: 2 g
domates: 25 g
beyaz peynir: 20 g
maydanoz: 20 g
karabiber: 2 g
Tuz: 2 g
Çörek otu: 2 g","oatmeal: 60 g
eggs: 20 g
yogurt: 25 g
baking powder: 2 g
tomatoes: 25 g
cheese: 20 g
parsley: 20 g
black pepper: 2 g
Salt: 2 g
black cumin: 2 g",Tüm malzemeleri bir kaba alın ve karıştırın. Fırın tepsisine şekil vererek dizin. 180 derece fırında üzeri kızarana kadar pişirin,Take all the ingredients in a bowl and mix. Shape and arrange on the baking tray. Bake in the oven at 180 degrees until golden brown,,,233,12,6,32.75,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
245,Yumurtalı Ispanak,Spinach with egg,,,"ıspanak: 100 g
yumurta: 40 g
soğan: 30 g
zeytinyağı: 5 ml
tuz: 1 g","spinach: 100 g
eggs: 40 g
onions: 30 g
olive oil: 5 ml salt: 1 g","ıspanak: 150 g
yumurta: 60 g
soğan: 60 g
zeytinyağı: 5 ml tuz: 1 g","spinach: 150 g
eggs: 60 g
onions: 60 g
olive oil: 5 ml salt: 1 g","ıspanak: 200 g
yumurta: 120 g
soğan: 100 g
zeytinyağı: 10 ml
tuz: 2 g","spinach: 200 g
eggs: 120 g
onions: 100 g
olive oil: 10 ml salt: 2 g","ıspanak: 200 g
yumurta: 60 g
soğan: 100 g
zeytinyağı: 10 ml
tuz: 2 g
","spinach: 200 g
eggs: 120 g
onions: 100 g
olive oil: 10 ml salt: 2 g",Ispanakları ve soğanı sıvı yağda pişirin. Soğuyunca üstüne yumurta kırıp fırında 10 dk daha pişirin.,"Cook the spinach and onions in oil. When it cools down, crack an egg on top and bake in the oven for another 10 minutes.",,,294,13,20,15.5,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
246,Mercimek Köftesi,Lentil patties,,,"su: 70 ml
bulgur: 30 g
kırmızı mercimek: 15 g
kuru soğan: 15 g
 zeytinyağı: 5 ml
salça: 1 g
karabiber: 1 g
maydanoz: 10 g
yeşil soğan: 10 g
marul: 10 g
tuz: 1 g","water: 70 ml
bulgur: 30 g
red lentils: 15 g
onions: 15 g
olive oil: 5 ml
 tomato paste: 1 g
 black pepper: 1 g
parsley: 10 g
green onions: 10 g
lettuce: 10 g
salt: 1 g","su: 100 ml
 bulgur: 50 g
kırmızı mercimek: 25 g
kuru soğan: 25 g
zeytinyağı: 10 ml
 salça: 2 g
karabiber: 1 g
maydanoz: 20 g
 yeşil soğan: 20 g
marul: 20 g
 tuz: 2 g","water: 100 ml
bulgur: 50 g
red lentils: 25 g
onions: 25 g
ml olive oil: 10 ml
tomato paste: 2 g
black pepper: 1 g
parsley: 20 g
 green onions: 20 g
lettuce: 20 g
salt: 2 g","su: 100 ml
 bulgur: 50 g
kırmızı mercimek: 25 g
kuru soğan: 25 g
zeytinyağı: 10 ml
 salça: 2 g
karabiber: 1 g
maydanoz: 20 g
 yeşil soğan: 20 g
marul: 20 g
 tuz: 2 g","water: 100 ml
bulgur: 50 g
red lentils: 25 g
onions: 25 g
ml olive oil: 10 ml
tomato paste: 2 g
black pepper: 1 g
parsley: 20 g
 green onions: 20 g
lettuce: 20 g
salt: 2 g","su: 100 ml
 bulgur: 50 g
kırmızı mercimek: 25 g
kuru soğan: 25 g
zeytinyağı: 10 ml
 salça: 2 g
karabiber: 1 g
maydanoz: 20 g
 yeşil soğan: 20 g
marul: 20 g
 tuz: 2 g","water: 100 ml
bulgur: 50 g
red lentils: 25 g
onions: 25 g
ml olive oil: 10 ml
tomato paste: 2 g
black pepper: 1 g
parsley: 20 g
 green onions: 20 g
lettuce: 20 g
salt: 2 g","Kırmızı mercimeği haşlayın. Üzerine bulgur ekleyin. Bulgur şişene kadar bekletin. Soğanı yağ ve salçada soteleyin. Karabiberi ve tuzu ekleyip karıştırın. Mercimek, bulgur, soğan, salça ve baharatları yoğurun. Marul hariç yeşillikleri doğrayın. Karıştırıp hamura şekil verin. Marul yapraklarını servis tabağına yerleştirin ve hazırladığınız köfteleri de marul yapraklarının üzerine dizin.","Boil the red lentils. Add bulgur to it. Wait until the bulgur swells. Saute the onion in oil and tomato paste. Add the pepper and salt and mix. Knead lentils, bulgur, onions, tomato paste and spices. Chop the greens except the lettuce. Mix and shape the dough. Place the lettuce leaves on the serving plate and arrange the meatballs you prepared on the lettuce leaves.",,,334,8,12,48.5,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
247,Köfteli Çorba,Meatball soup,,,"kıyma: 25 g
soğan: 10 g
ekmek: 5 g
tuz: 1 g
karabiber: 1 g
un: 10 g
yoğurt: 10 g
yumurta: 6 g
limon suyu: 1 ml","minced meat: 25 g
onions: 10 g
bread: 5 g
salt: 1 g
black pepper: 1 g
flour: 10 g
yoghurt: 10 g
eggs: 6 g
lemon juice: 1 ml","kıyma: 50 g
soğan: 20 g
ekmek: 10 g
tuz: 2 g
karabiber: 2 g
un: 15 g
yoğurt: 20 g
yumurta: 12 g
limon suyu: 2 ml","minced meat: 50 g onions: 20 g
bread: 10 g
salt: 2 g
black pepper: 2 g
flour: 15 g
yoghurt: 20 g
eggs: 12 g
lemon juice: 2 ml","kıyma: 50 g
soğan: 20 g
ekmek: 10 g
tuz: 2 g
karabiber: 2 g
un: 15 g
yoğurt: 20 g
yumurta: 12 g
limon suyu: 2 ml","minced meat: 50 g onions: 20 g
bread: 10 g
salt: 2 g
black pepper: 2 g
flour: 15 g
yoghurt: 20 g
eggs: 12 g
lemon juice: 2 ml","kıyma: 50 g
soğan: 20 g
ekmek: 10 g
tuz: 2 g
karabiber: 2 g
un: 15 g
yoğurt: 20 g
yumurta: 12 g
limon suyu: 2 ml","minced meat: 50 g onions: 20 g
bread: 10 g
salt: 2 g
black pepper: 2 g
flour: 15 g
yoghurt: 20 g
eggs: 12 g
lemon juice: 2 ml","Kıyma, soğan, ekmek, tuz ve karabiberi karıştırıp köfte karışımı yapın. Köfte karışımını yoğurup küçük küçük köfte yapın. Köfteleri az miktarda una bulayın. Köfteleri kaynar suyun içine atın. Yoğurt, un, yumurta ve limon suyunu karıştırıp sos yapın. Köfteler pişince sosu ekleyin.","Mix the ground beef, onion, bread, salt and pepper to make a meatball mixture. Knead the meatball mixture and make small meatballs. Dip the meatballs in a small amount of flour. Throw the meatballs into the boiling water. Mix the yogurt, flour, egg and lemon juice to make a sauce. When the meatballs are cooked, add the sauce.",,,206.5,13,10.5,15,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
248,Bulgur Pilavı,Bulgur Pilaf,,,"Bulgur: 30 g
Soğan: 20 g
Domates: 25 g
Biber: 25 g
zeytinyağı: 3 ml su: 75 ml tuz: 1 g","Bulgur: 30 g
Onions: 20 g
Tomatoes: 25 g
Pepper: 25 g
olive oil: 3 ml water: 75 ml salt: 1 g","Bulgur: 40 g
Soğan: 40 g
 Domates: 50 g
Biber: 50 g
zeytinyağı: 5 ml su: 150 ml tuz: 2 g","Bulgur: 40 g
Onions: 40 g
Tomatoes: 50 g
Pepper: 50 g
olive oil: 5 ml water: 150 ml salt: 2 g","Bulgur: 40 g
Soğan: 40 g
 Domates: 50 g
Biber: 50 g
zeytinyağı: 5 ml su: 150 ml tuz: 2 g","Bulgur: 40 g
Onions: 40 g
Tomatoes: 50 g
Pepper: 50 g
olive oil: 5 ml water: 150 ml salt: 2 g","Bulgur: 40 g
Soğan: 40 g
 Domates: 50 g
Biber: 50 g
zeytinyağı: 5 ml su: 150 ml tuz: 2 g","Bulgur: 40 g
Onions: 40 g
Tomatoes: 50 g
Pepper: 50 g
olive oil: 5 ml water: 150 ml salt: 2 g",Soğanı yağda soteleyin. üzerine domates ve biberi ekleyip soteleyin. Bulguru yıkayın. Tencereye ilave edin. Üzerine su ve baharatları ekleyin. Kısık ateşte pişirin. ,Saute the onion in oil. Add tomatoes and peppers and saute. Wash the bulgur. Add it to the pot. Add water and spices to it. Cook on low heat.,,,149,3.6,4.4,23.6,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
249,Havuçlu Yeşil Mercimek,Green lentils with carrots,,,"yeşil mercimek: 20 g
havuç: 20 g
zeytin yağı: 3 ml
tuz: 1 g
su: 100 ml","green lentils: 20 g
carrots: 20 g
olive oil: 3 ml
salt: 1 g
water: 100 ml"," yeşil mercimek: 30 g
havuç: 30 g
zeytin yağı: 5 ml
tuz: 2 g
su: 150 ml","green lentils: 30 g
carrots: 30 g
olive oil: 5 ml
salt: 2 g
water: 150 ml"," yeşil mercimek: 30 g
havuç: 30 g
zeytin yağı: 5 ml
tuz: 2 g
su: 150 ml","green lentils: 30 g
carrots: 30 g
olive oil: 5 ml
salt: 2 g
water: 150 ml"," yeşil mercimek: 30 g
havuç: 30 g
zeytin yağı: 5 ml
tuz: 2 g
su: 150 ml","green lentils: 30 g
carrots: 30 g
olive oil: 5 ml
salt: 2 g
water: 150 ml",Mercimeği yıkayıp ve yumuşayana kadar haşlayın. Zeytinyağında havucu soteleyin. Mercimeği ve tuzu ekleyip birkaç dakika soteleyin.,Wash the lentils and boil them until soft. Saute carrots in olive oil. Add the lentils and salt and sauté for a few minutes.,,,191,4,5,32.5,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
250,Vişne Suyu,Cherry juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml, 200 ml,200 ml,,,,,180,,,45,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
